run_id,algorithm,nodes,edges,source_node,target_node,time_sec,memory_peak_mb,energy_joules,cpu_energy_joules,path_found,path_length
16,Bellman-Ford,1000,5000,731,594,0.04108738899230957,0.2999744415283203,0.5855418695769146,0.15689586994041352,True,7
16,A_Star,1000,5000,731,594,0.0029878616333007812,0.29438018798828125,0.07756138166598976,0.02513838179595769,True,7
17,Dijkstra,1000,5000,965,480,0.011998653411865234,0.3010845184326172,0.18490626275116068,0.048356261416761706,True,4
17,Bellman-Ford,1000,5000,965,480,0.03708910942077637,0.2993354797363281,0.5007931186452678,0.12364711767138746,True,4
17,A_Star,1000,5000,965,480,0.00399470329284668,0.29367542266845703,0.07491043072013946,0.02248742852180095,True,4
18,Dijkstra,1000,5000,529,219,0.014997005462646484,0.29416656494140625,0.22123279829901132,0.06323579780217685,True,7
18,Bellman-Ford,1000,5000,529,219,0.03809475898742676,0.3006925582885742,0.5494535927190022,0.15600359332696956,True,7
18,A_Star,1000,5000,529,219,0.0030846595764160156,0.2934541702270508,0.06454840441759337,0.019617403387684716,True,7
19,Dijkstra,1000,5000,781,210,0.016092777252197266,0.30123424530029297,0.2321540586659685,0.057994059660471976,True,6
19,Bellman-Ford,1000,5000,781,210,0.04300951957702637,0.2998924255371094,0.5743185161502651,0.13182651585727845,True,6
19,A_Star,1000,5000,781,210,0.006102800369262695,0.2934541702270508,0.11418545696302318,0.03359745567082427,True,6
20,Dijkstra,1000,5000,208,462,0.011988401412963867,0.29424285888671875,0.181729291561483,0.04944729245775803,True,5
20,Bellman-Ford,1000,5000,208,462,0.040055036544799805,0.2992591857910156,0.5659435635362964,0.15020456322703765,True,5
20,A_Star,1000,5000,208,462,0.005948066711425781,0.29439353942871094,0.11043515661782162,0.036549157463522115,True,5
21,Dijkstra,1000,5000,107,145,0.02203536033630371,0.30080223083496094,0.318595856516876,0.08618285515836693,True,7
21,Bellman-Ford,1000,5000,107,145,0.04099774360656738,0.3004341125488281,0.5651688407273667,0.1449608401493805,True,7
21,A_Star,1000,5000,107,145,0.009096145629882812,0.29377269744873047,0.14450669981793246,0.037166699713773343,True,7
22,Dijkstra,1000,5000,26,327,0.00600886344909668,0.29451560974121094,0.11038791681034489,0.044310915417503566,True,6
22,Bellman-Ford,1000,5000,26,327,0.039104461669921875,0.3000450134277344,0.554753007478758,0.15075700694669716,True,6
22,A_Star,1000,5000,26,327,0.0010793209075927734,0.29322147369384766,0.0376123791941103,0.01687237726604905,True,6
23,Dijkstra,1000,5000,997,634,0.008966207504272461,0.30048084259033203,0.14832221213499594,0.04291921164611862,True,8
23,Bellman-Ford,1000,5000,997,634,0.039063453674316406,0.2952461242675781,0.5905282424514563,0.18193424183255147,True,8
23,A_Star,1000,5000,997,634,0.004032135009765625,0.29406070709228516,0.08510356020741164,0.02915756028704345,True,8
24,Dijkstra,1000,5000,556,395,0.004008769989013672,0.29387664794921875,0.07292487439462407,0.025163875098763538,True,4
24,Bellman-Ford,1000,5000,556,395,0.04599475860595703,0.3010110855102539,0.6361719584966248,0.1677169595787471,True,4
24,A_Star,1000,5000,556,395,0.0,0.2927398681640625,0.03079098448506556,0.013282986212288959,True,4
25,Dijkstra,1000,5000,544,98,0.011009931564331055,0.30072021484375,0.18962830542099915,0.05825430624631487,True,5
25,Bellman-Ford,1000,5000,544,98,0.04910731315612793,0.2998924255371094,0.7034047991850159,0.1959387977489016,True,5
25,A_Star,1000,5000,544,98,0.004086732864379883,0.2936525344848633,0.07097851399173537,0.024708513243399056,True,5
26,Dijkstra,1000,5000,178,883,0.016008377075195312,0.29534912109375,0.2772805534316312,0.10340055190157994,True,5
26,Bellman-Ford,1000,5000,178,883,0.05707907676696777,0.3011751174926758,0.8553858978698962,0.2671718962515704,True,5
26,A_Star,1000,5000,178,883,0.008004188537597656,0.29390716552734375,0.13493462015383623,0.0402366208515384,True,5
27,Dijkstra,1000,5000,994,344,0.018085241317749023,0.3001222610473633,0.26499661497299726,0.0697336147678381,True,6
27,Bellman-Ford,1000,5000,994,344,0.04098916053771973,0.3000450134277344,0.5883636616913348,0.16222166016676717,True,6
27,A_Star,1000,5000,994,344,0.014090776443481445,0.2936983108520508,0.2192912218991498,0.06613022097310221,True,6
28,Dijkstra,1000,5000,946,580,0.012038707733154297,0.29378223419189453,0.1867453526237302,0.04837735374432735,True,7
28,Bellman-Ford,1000,5000,946,580,0.038063764572143555,0.30090808868408203,0.5274273456459525,0.13046034624927083,True,7
28,A_Star,1000,5000,946,580,0.0030846595764160156,0.29354381561279297,0.09882998084444128,0.04251097924802028,True,7
29,Dijkstra,1000,5000,426,821,0.015059232711791992,0.3003549575805664,0.2397301737378902,0.07094917261708444,True,4
29,Bellman-Ford,1000,5000,426,821,0.04007720947265625,0.2951469421386719,0.6121793888733426,0.1890373892374972,True,4
29,A_Star,1000,5000,426,821,0.007008790969848633,0.294342041015625,0.11927790716861969,0.03751090737631206,True,4
30,Dijkstra,1000,5000,25,773,0.014109611511230469,0.2944793701171875,0.2132972076347267,0.05121720748005266,True,6
30,Bellman-Ford,1000,5000,25,773,0.040997982025146484,0.3000221252441406,1.6168526109017434,1.1955936127983036,True,6
30,A_Star,1000,5000,25,773,0.003991842269897461,0.2941474914550781,0.1591170635683928,0.11437606398523788,True,6
31,Dijkstra,1000,5000,47,564,0.01299905776977539,0.3010377883911133,0.38300026633696294,0.2459692671607587,True,5
31,Bellman-Ford,1000,5000,47,564,0.04499959945678711,0.2998924255371094,0.7002633121653714,0.24063431293212553,True,5
31,A_Star,1000,5000,47,564,0.001997709274291992,0.29388427734375,0.05647627584767444,0.024279276320160456,True,5
